lat,lon,pixel_count,mean_tb,min_tb,median_tb,std_tb,max_radius,min_radius,mean_radius,max_cloud_top_height,mean_cloud_top_height,target
166,964,8,227.12337,225.10466,227.13887,1.5255694,2.23606797749979,0.0,1.2580618877807475,2.4895339965820313,2.287663269042969,1
166,972,2,229.10971,228.72339,229.10971,0.3863144,1.0,0.0,0.5,2.1276611328125,2.0890289306640626,0
167,811,9,226.70389,222.54872,227.14478,2.0598917,2.23606797749979,0.0,1.229388344693998,2.745127868652344,2.3296112060546874,1
167,824,5,228.32346,226.74287,228.33298,1.0220674,2.0,0.0,1.082842712474619,2.3257125854492187,2.1676544189453124,1
215,927,2251,221.16837,210.2443,221.22238,5.1281333,68.60029154456998,0.0,24.543637596093085,3.9755706787109375,2.8831634521484375,1
166,979,1,227.14478,227.14478,227.14478,0.0,0.0,0.0,0.0,2.2855224609375,2.2855224609375,0
171,805,55,225.37558,218.46219,225.51892,2.9904168,7.211102550927978,0.0,3.393006841666858,3.1537811279296877,2.4624420166015626,1
171,794,8,226.31047,219.86101,227.93408,3.7535613,2.0,0.0,1.1035533905932737,3.0138992309570316,2.3689529418945314,1
171,817,13,228.34328,225.93001,229.49602,1.4786656,4.123105625617661,0.0,2.0269137221563094,2.406999206542969,2.1656723022460938,1
171,1436,6,227.05762,225.10466,226.94382,1.4877098,1.4142135623730951,0.0,0.9714045207910317,2.4895339965820313,2.29423828125,1
172,677,5,228.24873,227.14478,228.33298,0.801254,1.4142135623730951,0.0,0.882842712474619,2.2855224609375,2.175126647949219,1
174,991,7,222.76126,212.43446,224.26634,6.050825,2.0,0.0,1.1183467321065985,3.7565536499023438,2.7238739013671878,1
174,974,6,228.72156,228.33298,228.52818,0.44804806,1.4142135623730951,0.0,0.9714045207910317,2.1667022705078125,2.12784423828125,1
174,1439,2,226.23972,222.98343,226.23972,3.2562943,1.0,0.0,0.5,2.7016571044921878,2.3760284423828124,0
175,1593,4,226.61761,223.84216,227.34425,1.6268703,1.4142135623730951,0.0,0.8535533905932737,2.61578369140625,2.3382385253906253,0
178,807,6,227.5227,225.10466,228.13356,1.5160365,1.4142135623730951,0.0,0.9714045207910317,2.4895339965820313,2.2477294921875,1
188,1102,132,227.26877,222.54872,227.14478,1.9124179,12.041594578792296,0.0,5.083844059267491,2.745127868652344,2.2731231689453124,1
182,810,3,227.92732,226.33797,228.33298,1.1678793,1.0,0.0,0.6666666666666666,2.3662033081054688,2.2072677612304688,0
219,975,4662,218.92905,204.26091,218.46219,5.7997656,112.37882362794157,0.0,39.57371944432131,4.573908996582031,3.1070953369140626,1
186,780,6,225.13008,221.66829,225.50461,2.1663678,1.4142135623730951,0.0,0.9714045207910317,2.833171081542969,2.4869918823242188,1
186,1617,6,225.40552,219.86101,226.53738,3.495492,2.0,0.0,1.0690355937288492,3.0138992309570316,2.4594482421875004,1
186,801,6,227.03459,223.84216,227.93977,2.1757822,2.0,0.0,1.0690355937288492,2.61578369140625,2.2965408325195313,1
191,844,4,228.02888,226.74287,227.93835,1.0166302,1.4142135623730951,0.0,0.8535533905932737,2.3257125854492187,2.1971115112304687,0
191,847,3,228.97823,228.33298,228.72339,0.656117,1.0,0.0,0.6666666666666666,2.1667022705078125,2.102177429199219,0
193,1614,6,224.8288,219.39902,224.45673,3.8221996,2.23606797749979,0.0,1.1083802566454808,3.0600982666015626,2.517120361328125,1
194,811,2,228.33298,228.33298,228.33298,0.0,1.0,0.0,0.5,2.1667022705078125,2.1667022705078125,0
198,959,3,225.90132,224.26634,225.10466,1.7531664,1.0,0.0,0.6666666666666666,2.5733657836914063,2.409867858886719,0
203,13,16,228.71365,226.74287,228.91722,1.0366693,5.0,0.0,2.6090631939192255,2.3257125854492187,2.1286346435546877,1
203,1058,2,228.52542,227.93977,228.52542,0.58563995,1.0,0.0,0.5,2.2060226440429687,2.1474578857421878,0
203,21,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
206,1109,1,229.49602,229.49602,229.49602,0.0,0.0,0.0,0.0,2.050398254394531,2.050398254394531,0
206,1116,3,226.1928,225.10466,225.93001,1.0129371,1.0,0.0,0.6666666666666666,2.4895339965820313,2.380720520019531,0
215,1044,35,226.67047,221.22238,227.14478,2.316036,5.830951894845301,0.0,2.9637517420242947,2.8777618408203125,2.332952880859375,1
213,18,2,229.30086,228.72339,229.30086,0.5774689,1.0,0.0,0.5,2.1276611328125,2.0699142456054687,0
215,1608,9,226.96793,223.41455,226.33797,2.1661308,2.23606797749979,0.0,1.2556181199717522,2.6585449218750004,2.3032073974609375,1
231,723,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
237,1300,1,228.33298,228.33298,228.33298,0.0,0.0,0.0,0.0,2.1667022705078125,2.1667022705078125,0
239,1412,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
243,1419,1,229.49602,229.49602,229.49602,0.0,0.0,0.0,0.0,2.050398254394531,2.050398254394531,0
254,964,39,227.7028,223.84216,227.93977,1.6247511,7.0710678118654755,0.0,3.2680069390432354,2.61578369140625,2.229719543457031,1
261,1047,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
263,972,9,228.49152,226.33797,229.11105,1.3007803,2.23606797749979,0.0,1.2754120738465637,2.3662033081054688,2.150848388671875,1
264,1050,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
273,1027,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
283,1615,11,226.43018,220.7726,226.33797,2.4557133,5.0,0.0,2.120627329745668,2.922740173339844,2.356982421875,1
285,832,1,228.33298,228.33298,228.33298,0.0,0.0,0.0,0.0,2.1667022705078125,2.1667022705078125,0
285,838,5,227.36284,225.93001,226.74287,1.5335717,3.0,0.0,1.4,2.406999206542969,2.263716125488281,1
292,853,2,229.10971,228.72339,229.10971,0.3863144,1.0,0.0,0.5,2.1276611328125,2.0890289306640626,0
305,868,13,228.22581,226.33797,227.93977,1.3536798,6.0,0.0,2.5240430153877895,2.3662033081054688,2.1774185180664065,1
303,873,7,229.38411,228.33298,229.49602,0.4936033,3.0,0.0,1.5214687914104121,2.1667022705078125,2.061589050292969,1
344,1415,1,228.33298,228.33298,228.33298,0.0,0.0,0.0,0.0,2.1667022705078125,2.1667022705078125,0
345,1380,8,229.15544,227.93977,229.30353,0.6553001,3.1622776601683795,0.0,1.726569900005158,2.2060226440429687,2.084455871582031,1
348,1354,4,229.49536,229.11105,229.49602,0.27127278,1.4142135623730951,0.0,0.8535533905932737,2.0888946533203128,2.0504638671875,0
348,1395,2,229.10971,228.72339,229.10971,0.3863144,1.0,0.0,0.5,2.1276611328125,2.0890289306640626,0
352,1227,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
355,1224,11,227.78589,225.93001,227.54373,1.0551542,4.123105625617661,0.0,2.085060438696266,2.406999206542969,2.2214111328125,1
355,1342,2,229.10565,228.33298,229.10565,0.77267456,1.0,0.0,0.5,2.1667022705078125,2.089434814453125,0
358,1458,1,228.72339,228.72339,228.72339,0.0,0.0,0.0,0.0,2.1276611328125,2.1276611328125,0
359,1448,4,228.32178,226.74287,228.33298,1.1086062,2.0,0.0,1.0,2.3257125854492187,2.167822265625,0
361,1391,6,228.77875,227.14478,229.49602,1.0208684,2.23606797749979,0.0,1.2750469233121475,2.2855224609375,2.122125244140625,1
361,1467,6,228.77788,227.14478,229.11105,1.0672493,2.0,0.0,1.0690355937288492,2.2855224609375,2.1222122192382815,1
366,1308,3,229.49513,229.11105,229.49602,0.3132385,1.0,0.0,0.6666666666666666,2.0888946533203128,2.050486755371094,0
375,1316,126,228.3984,225.10466,228.33298,1.1607403,18.110770276274835,0.0,6.444742015983369,2.4895339965820313,2.1601593017578127,1
370,1379,21,228.55046,227.54373,228.33298,0.8112836,6.082762530298219,0.0,2.420582071984228,2.2456268310546874,2.1449539184570314,1
369,1357,1,226.74287,226.74287,226.74287,0.0,0.0,0.0,0.0,2.3257125854492187,2.3257125854492187,0
371,1370,11,228.36086,226.74287,228.33298,0.9211824,3.1622776601683795,0.0,1.656979342037669,2.3257125854492187,2.163914489746094,1
372,1305,2,229.87833,229.87833,229.87833,0.0,1.0,0.0,0.5,2.0121673583984374,2.0121673583984374,0
373,1426,5,229.02971,227.93977,229.11105,0.6672336,1.4142135623730951,0.0,0.882842712474619,2.2060226440429687,2.097029113769531,1
377,1339,24,227.31807,221.66829,227.93977,2.1774015,4.47213595499958,0.0,2.1442779240915546,2.833171081542969,2.268193054199219,1
374,1345,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
375,1362,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
375,1428,1,229.49602,229.49602,229.49602,0.0,0.0,0.0,0.0,2.050398254394531,2.050398254394531,0
378,1304,2,229.49602,229.49602,229.49602,0.0,1.0,0.0,0.5,2.050398254394531,2.050398254394531,0
378,1358,3,228.71515,227.54373,228.72339,0.9531121,1.0,0.0,0.6666666666666666,2.2456268310546874,2.128485107421875,0
400,1337,159,227.30719,221.66829,227.93977,1.9901807,26.40075756488817,0.0,10.718623289064105,2.833171081542969,2.269281005859375,1
380,1552,1,225.10466,225.10466,225.10466,0.0,0.0,0.0,0.0,2.4895339965820313,2.4895339965820313,0
384,1380,7,229.16295,227.93977,229.49602,0.6019769,3.1622776601683795,0.0,1.4017941714344662,2.2060226440429687,2.0837051391601564,1
383,1550,1,227.54373,227.54373,227.54373,0.0,0.0,0.0,0.0,2.2456268310546874,2.2456268310546874,0
389,1542,30,226.72636,222.11037,227.14478,2.1731021,8.602325267042627,0.0,4.0841547221648975,2.7889633178710938,2.3273635864257813,1
388,1314,11,229.07187,227.93977,228.72339,0.6685388,3.1622776601683795,0.0,1.7322908988327774,2.2060226440429687,2.0928131103515626,1
387,1373,9,229.1942,228.33298,229.11105,0.53979367,2.23606797749979,0.0,1.340499455805109,2.1667022705078125,2.080580139160156,1
388,1360,419,227.4994,222.98343,227.54373,1.5344921,37.53664875824692,0.0,17.163606526719448,2.7016571044921878,2.2500595092773437,1
390,1369,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
390,1528,17,227.34631,224.26634,227.54373,1.9104011,5.0,0.0,2.3924247520809523,2.5733657836914063,2.26536865234375,1
394,1453,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
399,1443,5,228.55374,226.33797,228.72339,1.23528,1.4142135623730951,0.0,0.882842712474619,2.3662033081054688,2.1446258544921877,1
408,1616,4,225.26672,222.11037,225.3118,2.2053554,1.4142135623730951,0.0,0.8535533905932737,2.7889633178710938,2.47332763671875,0
409,769,4,229.49402,228.72339,229.68716,0.47150278,1.4142135623730951,0.0,0.8535533905932737,2.1276611328125,2.05059814453125,0
409,773,2,228.91722,228.72339,228.91722,0.1938324,1.0,0.0,0.5,2.1276611328125,2.1082778930664063,0
411,1613,4,227.0922,223.41455,227.53793,2.3952641,1.0,0.0,0.75,2.6585449218750004,2.2907806396484376,0
412,767,5,227.50569,223.84216,227.93977,2.042171,1.0,0.0,0.8,2.61578369140625,2.249430847167969,1
414,1615,2,229.49469,229.11105,229.49469,0.38363647,1.0,0.0,0.5,2.0888946533203128,2.050531005859375,0
416,1324,2,228.90906,227.93977,228.90906,0.9692764,1.0,0.0,0.5,2.2060226440429687,2.10909423828125,0
418,1322,3,229.23938,229.11105,229.11105,0.18147376,2.0,0.0,1.0,2.0888946533203128,2.0760620117187503,0
418,1598,2,228.72202,228.33298,228.72202,0.3890381,1.0,0.0,0.5,2.1667022705078125,2.1277984619140624,0
421,1319,3,229.62256,229.11105,229.87833,0.36169595,1.0,0.0,0.6666666666666666,2.0888946533203128,2.037744140625,0
424,1317,4,229.29468,227.54373,229.87833,1.0109092,1.4142135623730951,0.0,0.8535533905932737,2.2456268310546874,2.0705322265625,0
425,1577,7,227.16829,223.41455,227.54373,1.917352,1.4142135623730951,0.0,0.9754895892494557,2.6585449218750004,2.2831710815429687,1
427,1508,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
429,1524,2,228.52542,227.93977,228.52542,0.58563995,1.0,0.0,0.5,2.2060226440429687,2.1474578857421878,0
436,1548,147,226.86435,213.49258,227.14478,2.6711137,15.811388300841896,0.0,7.907208654442413,3.6507415771484375,2.3135650634765628,1
432,1568,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
434,1569,2,229.87833,229.87833,229.87833,0.0,1.0,0.0,0.5,2.0121673583984374,2.0121673583984374,0
437,1567,12,227.49297,222.98343,228.72339,2.359432,4.0,0.0,1.7688977302011966,2.7016571044921878,2.2507034301757813,1
443,1321,90,227.4412,222.98343,227.54373,1.584885,14.560219778561036,0.0,6.814117432241175,2.7016571044921878,2.2558807373046874,1
444,1531,23,227.50009,224.68715,227.54373,1.6960986,7.615773105863909,0.0,3.51280873625171,2.531285095214844,2.2499908447265624,1
444,1547,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
